frame_id,pair,distance_cm
0,WRIST_THUMB_CMC,3.836222021095226
0,THUMB_CMC_THUMB_MCP,3.012758481479103
0,THUMB_MCP_THUMB_IP,2.7562424417253832
0,THUMB_IP_THUMB_TIP,39.14053240052529
0,WRIST_INDEX_MCP,3.6734651766654878
0,INDEX_MCP_MIDDLE_MCP,2.6548037703483107
0,MIDDLE_MCP_RING_MCP,26.638590241265124
0,RING_MCP_PINKY_MCP,2.403834086298321
0,INDEX_MCP_INDEX_PIP,5.165453388543937
0,INDEX_PIP_INDEX_DIP,37.3495370658652
0,INDEX_DIP_INDEX_TIP,6.821537683246581
0,MIDDLE_MCP_MIDDLE_PIP,34.091456822216735
0,MIDDLE_PIP_MIDDLE_DIP,7.9151165957812255
0,MIDDLE_DIP_MIDDLE_TIP,9.100722016853222
0,RING_MCP_RING_PIP,11.957388086214163
0,RING_PIP_RING_DIP,5.720389636876475
0,RING_DIP_RING_TIP,5.768587758463075
0,PINKY_MCP_PINKY_PIP,10.187732431491458
0,PINKY_PIP_PINKY_DIP,4.011284980056328
0,PINKY_DIP_PINKY_TIP,2.9009411943154912
1,WRIST_THUMB_CMC,0.0
1,THUMB_CMC_THUMB_MCP,0.0
1,THUMB_MCP_THUMB_IP,0.0
1,THUMB_IP_THUMB_TIP,0.0
1,WRIST_INDEX_MCP,0.0
1,INDEX_MCP_MIDDLE_MCP,0.0
1,MIDDLE_MCP_RING_MCP,0.0
1,RING_MCP_PINKY_MCP,0.0
1,INDEX_MCP_INDEX_PIP,0.0
1,INDEX_PIP_INDEX_DIP,0.01666212823871171
1,INDEX_DIP_INDEX_TIP,0.0004883239476483133
1,MIDDLE_MCP_MIDDLE_PIP,0.0
1,MIDDLE_PIP_MIDDLE_DIP,0.01645730312520567
1,MIDDLE_DIP_MIDDLE_TIP,0.0005043725831176626
1,RING_MCP_RING_PIP,0.0
1,RING_PIP_RING_DIP,0.016281701614391096
1,RING_DIP_RING_TIP,0.0004727009897124573
1,PINKY_MCP_PINKY_PIP,0.0
1,PINKY_PIP_PINKY_DIP,0.0
1,PINKY_DIP_PINKY_TIP,0.016141642854664618
2,WRIST_THUMB_CMC,64.67360303506491
2,THUMB_CMC_THUMB_MCP,4.745937285615773
2,THUMB_MCP_THUMB_IP,4.0093430970429305
2,THUMB_IP_THUMB_TIP,45.2304470556645
2,WRIST_INDEX_MCP,67.50063789565004
2,INDEX_MCP_MIDDLE_MCP,3.271287815363557
2,MIDDLE_MCP_RING_MCP,21.674563087867995
2,RING_MCP_PINKY_MCP,2.3444769105656094
2,INDEX_MCP_INDEX_PIP,43.63450612135733
2,INDEX_PIP_INDEX_DIP,84.16986371856899
2,INDEX_DIP_INDEX_TIP,4.199022896379905
2,MIDDLE_MCP_MIDDLE_PIP,32.182106120558934
2,MIDDLE_PIP_MIDDLE_DIP,6.179605186181411
2,MIDDLE_DIP_MIDDLE_TIP,6.32868219275534
2,RING_MCP_RING_PIP,11.919986065743398
2,RING_PIP_RING_DIP,5.14670214688193
2,RING_DIP_RING_TIP,3.7794809042769653
2,PINKY_MCP_PINKY_PIP,9.721665632653002
2,PINKY_PIP_PINKY_DIP,4.326565225659833
2,PINKY_DIP_PINKY_TIP,2.1694660106461874
3,WRIST_THUMB_CMC,0.0
3,THUMB_CMC_THUMB_MCP,0.0
3,THUMB_MCP_THUMB_IP,0.0
3,THUMB_IP_THUMB_TIP,0.0
3,WRIST_INDEX_MCP,0.0
3,INDEX_MCP_MIDDLE_MCP,0.0
3,MIDDLE_MCP_RING_MCP,0.0
3,RING_MCP_PINKY_MCP,0.0
3,INDEX_MCP_INDEX_PIP,0.0
3,INDEX_PIP_INDEX_DIP,0.016437975880837244
3,INDEX_DIP_INDEX_TIP,0.00038246018086078923
3,MIDDLE_MCP_MIDDLE_PIP,0.0
3,MIDDLE_PIP_MIDDLE_DIP,0.01617503963926218
3,MIDDLE_DIP_MIDDLE_TIP,0.00045736346530044137
3,RING_MCP_RING_PIP,0.0
3,RING_PIP_RING_DIP,0.015991344745971307
3,RING_DIP_RING_TIP,0.0003882445717199208
3,PINKY_MCP_PINKY_PIP,0.0
3,PINKY_PIP_PINKY_DIP,0.0
3,PINKY_DIP_PINKY_TIP,0.015846602412864123
4,WRIST_THUMB_CMC,2.3261801714306016
4,THUMB_CMC_THUMB_MCP,2.5020805346348816
4,THUMB_MCP_THUMB_IP,2.524502858175739
4,THUMB_IP_THUMB_TIP,35.990116136196264
4,WRIST_INDEX_MCP,1.8961032437722798
4,INDEX_MCP_MIDDLE_MCP,2.7004216927756852
4,MIDDLE_MCP_RING_MCP,25.231162979685845
4,RING_MCP_PINKY_MCP,2.8038125138766823
4,INDEX_MCP_INDEX_PIP,4.323318566864751
4,INDEX_PIP_INDEX_DIP,34.5427888202447
4,INDEX_DIP_INDEX_TIP,4.7491708040855976
4,MIDDLE_MCP_MIDDLE_PIP,33.807422074504025
4,MIDDLE_PIP_MIDDLE_DIP,5.806713740799871
4,MIDDLE_DIP_MIDDLE_TIP,5.651063076047967
4,RING_MCP_RING_PIP,12.322595642221543
4,RING_PIP_RING_DIP,5.1927904358159065
4,RING_DIP_RING_TIP,3.4660037519406997
4,PINKY_MCP_PINKY_PIP,8.927738780516377
4,PINKY_PIP_PINKY_DIP,4.1574922447847555
4,PINKY_DIP_PINKY_TIP,2.5900554937218314
5,WRIST_THUMB_CMC,7.2093876040261895
5,THUMB_CMC_THUMB_MCP,5.33398557038141
5,THUMB_MCP_THUMB_IP,5.505823749702166
